brand_name,car_name,car_source_city_name,official_price,sh_price,transfer_cnt,car_year,car_mileage
日产,2.0L XV Prem 豪华版,哈尔滨,16.88万,7.56万,0,2021年,4.10万公里
大众,1.8TSI DSG御尊版,北京,23.98万,4.80万,0,2013年,15万公里
奔驰,GLE 400 4MATIC 臻藏版,深圳,89.88万,32.80万,0,2018年,5.08万公里
领克,03+ 2.0TD 自动驭风版,温州,19.88万,9.68万,0,2020年,2万公里
大众,230TSI DSG两驱时尚型,绍兴,14.98万,7.30万,0,2021年,2.80万公里
现代,1.8L 自动智能型GLS 国V,北京,14.98万,4.83万,1,2017年,6.15万公里
保时捷,Macan 2.0T,杭州,55.80万,15.80万,1,2014年,8.02万公里
凯迪拉克,改款 28T 两驱领先型,上海,28.97万,11.79万,0,2020年,3万公里
大众,1.5L 自动舒适型,长春,13.18万,5.33万,0,2018年,3.94万公里
吉利汽车,1.5L 手动豪华型,成都,7.48万,2.72万,0,2019年,6.40万公里
奥迪,40T 豪华动感型,深圳,41.58万,21.98万,0,2022年,7.18万公里
奔腾,第三代 1.5T 自动尊享型,长春,12.19万,6.97万,0,2022年,3.44万公里
奥迪,45 TFSI 尊享时尚型,长沙,44.52万,19.88万,0,2020年,9.32万公里
奥迪,30周年年型 35 TFSI 运动型,成都,30.87万,9.98万,1,2018年,7.70万公里
日产,经典 1.6 XL CVT豪华版,武汉,11.86万,6.28万,0,2022年,1.90万公里
雪佛兰,535T 驰界版,沈阳,18.49万,8.28万,0,2020年,7.62万公里
丰田,185T CVT豪华版,北京,12.98万,6.88万,1,2021年,3.50万公里
大众,180TSI 宜乐版,石家庄,19.58万,9.56万,0,2017年,3.95万公里
丰田,改款 1.2T S-CVT GL 国V,烟台,11.78万,5.28万,0,2017年,7.43万公里
路虎,3.0 V6 SC HSE,沈阳,104.80万,25.10万,1,2014年,13万公里
大众,280TSI DSG舒适型 国VI,武汉,16.19万,8.58万,0,2020年,4.78万公里
丰田,1.6L CVT GL-i真皮版,徐州,13.48万,4.92万,0,2015年,7.12万公里
起亚,三厢 1.4L AT 15周年特别版GLS,贵阳,8.89万,3.98万,2,2018年,8.13万公里
大众,1.5L 自动时尚型,西安,12.20万,5.98万,1,2019年,2.30万公里
吉利汽车,2.0T 旗舰型,绍兴,14.97万,7.98万,0,2021年,3.10万公里
保时捷,Cayenne 3.0T,苏州,92.30万,75.80万,1,2022年,4.20万公里
大众,200TSI DSG智行PRO版,南昌,13.59万,7.80万,0,2022年,0.49万公里
吉利汽车,14T CVT缤纷版,苏州,9.18万,3.38万,0,2018年,6.50万公里
丰田,240G 经典周年纪念版,深圳,21.58万,3.49万,1,2011年,16万公里
奔驰,GLA 200 动感型,上海,26.98万,7.68万,1,2017年,6.30万公里
吉利几何,臻尚型,北京,13.58万,4.99万,0,2018年,4.93万公里
长安,PLUS 蓝鲸NE 1.4T GDI 自动锋尚型,成都,8.89万,4.00万,0,2020年,2.80万公里
丰田,1.6L GL-i AT,上海,11.50万,1.86万,1,2009年,9.80万公里
广汽传祺,270T 自动尊享版 7座,揭阳,13.98万,8.60万,0,2020年,3.20万公里
大众,1.6L 自动时尚型,威海,11.98万,4.88万,0,2017年,5.69万公里
奥迪,55 TFSI 豪华动感型,宁波,85.88万,45.80万,1,2021年,5.30万公里
大众,330TSI DSG尊荣版,沈阳,22.29万,8.20万,0,2018年,8万公里
奔驰,改款 C 260 运动版,厦门,31.38万,17.98万,0,2020年,3.22万公里
魏牌,1.5T 颜先锋,南宁,12.98万,7.98万,0,2021年,1.86万公里
奔腾,1.5T 自动尊享型,贵阳,11.99万,6.38万,1,2021年,2.70万公里
奔驰,C 200 L 运动版 成就特别版,北京,35.38万,15.90万,0,2018年,8万公里
大众,2.0TSI 四驱行政版,北京,81.80万,19.80万,1,2015年,10.30万公里
大众,280TSI DSG超越版,武汉,15.59万,9.58万,0,2022年,1.80万公里
起亚,270T CVVD 焕新版,潍坊,17.88万,10.98万,0,2021年,2.60万公里
奔驰,CLA 260 4MATIC,北京,37.80万,12.29万,1,2016年,10.27万公里
大众,PRO 极智版,上海,17.39万,7.88万,0,2021年,4.26万公里
福特,1.5L 自动运动典藏版,温州,12.78万,3.68万,0,2016年,4.20万公里
宝马,320Li 时尚型,上海,34.98万,8.60万,1,2016年,8.90万公里
东风风神,500 超享版,苏州,22.68万,3.68万,0,2019年,6万公里
名爵,180DVVT CVT青春豪华版,温州,8.29万,4.10万,0,2021年,0.20万公里
吉利汽车,1.8TD 自动智联型,佛山,12.78万,3.68万,1,2017年,9.90万公里
林肯,2.0T 尊悦版,广州,28.48万,6.98万,0,2017年,9.50万公里
奥迪,35 TFSI 时尚动感型,邯郸,29.28万,16.83万,0,2022年,1.46万公里
大众,280TSI DSG豪华魅影版,湖州,18.79万,10.06万,1,2021年,4万公里
别克,552T 智享型,潍坊,19.68万,11.36万,0,2023年,1.49万公里
沃尔沃,B5 智远豪华版,长沙,45.09万,22.28万,2,2021年,5.60万公里
奔驰,改款 C 260 L 运动版,沈阳,34.68万,18.58万,0,2019年,6.75万公里
三菱,2.4L 四驱精英版 5座,菏泽,18.98万,7.78万,1,2017年,4.89万公里
英菲尼迪,2.0T 舒适版 国VI,绍兴,26.48万,10.88万,0,2020年,7.80万公里
保时捷,Cayenne Platinum Edition 3.0T,长沙,98.40万,32.28万,0,2017年,10万公里
奥迪,Limousine 35 TFSI 进取型 国VI,苏州,19.46万,7.98万,1,2019年,6.40万公里
奥迪,40 TFSI 荣享时尚型,合肥,41.58万,22.28万,0,2020年,4.63万公里
奔驰,A 200 L 运动轿车,无锡,26.48万,12.00万,1,2019年,4.80万公里
福特, EcoBoost 245 四驱嘉享款,贵阳,20.48万,10.98万,0,2020年,5.92万公里
铃木,1.5L 自动时尚型,佛山,7.48万,3.38万,0,2017年,7.17万公里
本田,1.5L CVT两驱舒适型,东莞,13.68万,3.98万,0,2015年,13.20万公里
本田,2.0L 经典版,广州,17.99万,5.98万,1,2017年,6万公里
雷克萨斯,270 精英版,佛山,46.90万,11.68万,1,2014年,18万公里
别克,15N 自动精英型,西安,12.69万,3.68万,0,2016年,5.61万公里
大众,1.6L 25周年纪念版,成都,10.76万,3.58万,0,2017年,6.80万公里
吉利汽车,第4代 1.5L CVT精英型,长春,7.79万,5.48万,0,2023年,0.75万公里
吉利汽车,2.0T 尊贵型,苏州,13.97万,7.50万,0,2022年,2.20万公里
日产,经典 1.6 XL CVT豪华版,银川,11.86万,6.88万,0,2023年,1万公里
ARCFOX极狐,525S 160kW,重庆,22.38万,12.98万,1,2023年,1.10万公里
吉利汽车,1.5TD 青鸢限量版,成都,12.98万,6.98万,0,2022年,2.60万公里
宝马,218i 时尚型,昆明,21.98万,8.18万,1,2019年,7.53万公里
奔驰,改款 E 300 L 运动殊享版,深圳,49.98万,30.98万,0,2020年,5万公里
奥迪,40 TFSI 豪华动感型,西安,34.38万,18.50万,0,2021年,4.86万公里
日产,2.0L CVT豪华版 国V,沧州,16.88万,6.98万,0,2018年,6万公里
福特,EcoBoost 180 时尚型,金华,19.28万,9.58万,0,2021年,4.30万公里
宝骏,1.5L CVT优享型 国VI,长沙,7.38万,4.28万,0,2020年,2.29万公里
哪吒汽车,潮300 Lite,海口,7.39万,4.88万,0,2022年,1.22万公里
奥迪,TFSI 百万纪念智领型,长沙,39.82万,9.88万,0,2015年,13万公里
领克,2.0T 两驱型Pro版,长春,17.58万,7.98万,0,2018年,5.27万公里
大众,330TSI DSG 豪华型,深圳,23.39万,14.48万,0,2021年,3.38万公里
宝马,525Li 领先型,深圳,46.66万,9.68万,0,2014年,12.10万公里
雷克萨斯,200t 全驱 锋尚版,揭阳,39.80万,11.68万,0,2015年,15.80万公里
零跑汽车,行政版610,广州,22.88万,12.38万,0,2022年,2.90万公里
大众,Plus 1.5L 自动全景乐享版,上海,10.99万,5.50万,0,2020年,3.30万公里
宝马,xDrive30i 领先型 M运动套装,北京,47.98万,23.98万,0,2020年,3.10万公里
本田,1.8L 自动经典版,广州,15.78万,2.68万,3,2007年,18万公里
日产,2.5L CVT豪华版 4WD,广州,23.88万,5.98万,0,2014年,11万公里
领克,1.5TD DCT劲Pro版,苏州,14.88万,6.20万,0,2019年,6.80万公里
小鹏汽车,670N,东莞,28.29万,12.99万,0,2021年,5万公里
宝马,320Li 领先型M运动套装,成都,34.98万,11.68万,0,2018年,5.60万公里
奥迪,35TFSI 时尚动感型,潍坊,23.84万,11.88万,1,2021年,3万公里
本田,1.8L 自动豪华版,南宁,13.48万,3.38万,0,2013年,9.80万公里
本田,HATCHBACK 220TURBO CVT新锐控,襄阳,14.39万,8.98万,0,2022年,3.34万公里
奔驰,GLC 300 L 4MATIC 豪华型,东莞,49.38万,30.80万,2,2020年,5.68万公里
广汽传祺,320T 两驱豪华智联版 7座,东莞,18.28万,6.88万,0,2017年,8.20万公里
吉利汽车,运动款 260T DCT游侠 国V,南昌,10.88万,4.98万,0,2019年,5.56万公里
奔驰,改款 CLA 200 时尚型,西安,28.70万,11.98万,0,2017年,4.60万公里
别克,15N CVT精英型,南京,9.39万,4.30万,1,2021年,2.40万公里
奥迪,TFSI 技术型,西安,41.88万,15.68万,2,2017年,10.50万公里
日产,2.0L XL舒适版,佛山,18.58万,4.68万,0,2015年,15万公里
路虎,249PS R-DYNAMIC S 首发运动定制版,沈阳,39.08万,19.50万,0,2021年,4万公里
吉利汽车,1.8TD DCT两驱智联型4G互联版,佛山,11.98万,4.98万,0,2019年,4万公里
广汽传祺,320T 两驱豪华智联版 7座,东莞,18.28万,6.88万,0,2018年,7.60万公里
奔驰,S 560 4MATIC,苏州,219.88万,118.80万,1,2020年,4.70万公里
别克,28T 舒适型 国VI,常州,23.29万,10.68万,1,2019年,5.80万公里
